No.,ハングル,日本語意味,alphabet(読み方)
2391,터지다,突然起こる、裂ける、ドッと出る,teojida
2392,털다,はたく,teolda
2393,테이프,テープ,teipeu
2394,텐트,テント,tenteu
2395,토끼,ウサギ,tokki
2396,토론,討論,toron
2397,토하다,吐く,tohada
2398,통계,統計,tonggye
2399,통신,通信,tongsin
2400,통역,通訳,tongyeok
2401,통일,統一,tongil
2402,통증,痛み,tongjeung
2403,통지서,通知書,tongjiseo
2404,통화,通話,tonghwa
2405,퇴근길,仕事帰り,toegeungil
2406,퇴원,退院,toewon
2407,퇴직,退職,toejik
2408,투표,投票,tupyo
2409,튀기다,揚げる、はじく、跳ね飛ばす,twigida
2410,트럭,トラック、貨物自動車,teureok
2411,특기,特技,teukgi
2412,특별,特別,teukbyeol
2413,특별하다,特別だ,teukbyeolhada
2414,특산물,特産物,teuksanmul
2415,튼튼하다,丈夫だ、頑丈だ,teunteunhada
2416,틀림없다,間違いない、決まってる、確かだ,teulrimeopda
2417,틀림없이,間違いなく,teulrimeopsi
2418,틈,隙、暇,teum
2419,티켓,チケット,tiket
2420,팀장,チーム長,timjang
2421,파다,掘る、彫る、掘り下げる、えぐる,pada
2422,파마,パーマ,pama
2423,파일,ファイル,pail
2424,파전,チヂミ,pajeon
2425,판매,販売,panmae
2426,판매자,販売者,panmaeja
2427,팥빙수,パッピンス(韓国風かき氷),patbingsu
2428,패션쇼,ファッションショー,paesyeonsyo
2429,패스트푸드,ファーストフード,paeseuteupudeu
2430,팩스,ファックス,paekseu
2431,팬,ファン,paen
2432,퍼지다,広がる、行き渡る,peojida
2433,편리,便利,pyeonri
2434,편식,偏食,pyeonsik
2435,편안하다,楽だ,pyeonanhada
2436,편의점,コンビニ、便宜店,pyeonuijeom
2437,편히,楽に,pyeonhi
2438,펼치다,広げる,pyeolchida
2439,평가,評価,pyeongga
2440,평균,平均,pyeonggyun
2441,평등,平等,pyeongdeung
2442,평범하다,平凡だ,pyeongbeomhada
2443,평생,一生,pyeongsaeng
2444,평소,普段、日頃,pyeongso
2445,평화,平和,pyeonghwa
2446,포근하다,暖かい、穏やかだ,pogeunhada
2447,포기,放棄,pogi
2448,포도주,ワイン、葡萄酒,podoju
2449,포인트,ポイント,pointeu
2450,포장지,包装紙,pojangji
2451,폭발,爆発,pokbal
2452,폭설,どか雪、爆雪,pokseol
2453,폭식,暴食、やけ食い,poksik
2454,폭우,暴雨、豪雨,pogu
2455,폭포,滝,pokpo
2456,표시,標示,pyosi
2457,표정,表情,pyojeong
2458,표지판,表示板,pyojipan
2459,푸르다,青い,pureuda
2460,풀리다,解ける、ほぐれる、和らぐ,pulrida
2461,풀이,解釈,puri
2462,품질,品質,pumjil
2463,풍경,風景,punggyeong
2464,풍부하다,豊富だ、豊かだ,pungbuhada
2465,풍선,風船,pungseon
2466,프라이팬,フライパン,peuraipaen
2467,프로그래머,プログラマー,peurogeuraemeo
2468,프린터,プリンター,peurinteo
2469,플라스틱,プラスティック,peulraseutik
2470,플러그,プラグ,peulreogeu
2471,피로,疲労,piro
2472,피부,皮膚、肌,pibu
2473,피부과,皮膚科,pibugwa
2474,피부병,皮膚病,pibubyeong
2475,피서,避暑,piseo
2476,피아니스트,ピアニスト,pianiseuteu
2477,피하다,避ける,pihada
2478,피해,被害,pihae
2479,피해자,被害者,pihaeja
2480,필수,必須,pilsu
2481,필수품,必需品,pilsupum
2482,필요성,必要性,piryoseong
2483,핑계,言い訳,pinggye
2484,하도,あまりにも,hado
2485,하루빨리,一日でも早く,haruppalri
2486,하루하루,一日一日,haruharu
2487,하룻밤,一晩,harutbam
2488,하마터면,危うく,hamateomyeon
2489,하품,あくび,hapum
2490,학과,学科,hakgwa
2491,학력,学歴,hakryeok
2492,학문,学問,hakmun
2493,학비,学費,hakbi
2494,학습,学習,hakseup
2495,학자,学者,hakja
2496,학점,単位,hakjeom
2497,한가하다,暇だ,hangahada
2498,한국학,韓国学,hangukhak
2499,한글날,ハングルの日,hangeulnal
2500,한꺼번에,一度に、一緒に,hankkeobeone
2501,한낮,真昼,hannat
2502,한눈,脇目,hannun
2503,한동안,一時、しばらく,handongan
2504,한두,一・二,handu
2505,한마디,一言,hanmadi
2506,한순간,一瞬,hansungan
2507,한숨,一息、一休み、溜息,hansum
2508,한약,漢方薬、韓方薬,hanyak
2509,한옥,韓屋(伝統的な朝鮮の建築様式を使用した家屋),hanok
2510,한우,韓牛、韓国の牛,hanu
2511,한의사,漢方医,hanuisa
2512,한정식,韓定食,hanjeongsik
2513,한지,伝統韓紙,hanji
2514,한참,しばらく、はるかに,hancham
2515,한창,とても、さかんに,hanchang
2516,한편,一方,hanpyeon
2517,할부,分割払い,halbu
2518,할인점,ディスカウントストア,harinjeom
2519,함부로,むやみに、やたらに,hamburo
2520,합격자,合格者,hapgyeokja
2521,합치다,合わせる,hapchida
2522,합하다,足す,haphada
2523,항공,航空,hanggong
2524,항공권,航空券,hanggonggwon
2525,항공기,航空機,hanggonggi
2526,항공료,航空料,hanggongryo
2527,항공사,航空会社,hanggongsa
2528,항공편,航空便,hanggongpyeon
2529,해결,解決,haegyeol
2530,해결책,解決策,haegyeolchaek
2531,해고,解雇,haego
2532,해내다,やりとげる,haenaeda
2533,해돋이,日の出,haedodi
2534,해롭다,有害である、害になる,haeropda
2535,해마다,毎年,haemada
2536,해물,海産物,haemul
2537,해보다,やってみる,haeboda
2538,해산물,海産物,haesanmul
2539,해소,解消,haeso
2540,해소법,解消法,haesobeop
2541,해수욕,海水浴,haesuyok
2542,해수욕장,海水浴場,haesuyokjang
2543,해열제,解熱剤,haeyeolje
2544,핸드백,ハンドバック,haendeubaek
2545,햇곡식,新穀,haetgoksik
2546,햇볕,日差し、日光,haetbyeot
2547,행동,行動,haengdong
2548,행사장,催事場,haengsajang
2549,행운,幸運,haengun
2550,향,香、香り,hyang
2551,향기,香り,hyanggi
2552,향수,香水、郷愁,hyangsu
2553,향하다,向かう,hyanghada
2554,허락,許諾、許し,heorak
2555,허리띠,ベルト、腰巻,heoritti
2556,험하다,険しい,heomhada
2557,헤매다,さまよう、迷う,hemaeda
2558,헤어스타일,ヘアスタイル,heeoseutail
2559,헤어지다,別れる、離れる,heeojida
2560,헤엄치다,泳ぐ,heeomchida
2561,헬멧,ヘルメット,helmet
2562,헬스클럽,スポーツクラブ、ジム,helseukeulreop
2563,현관,玄関,hyeongwan
2564,현관문,玄関ドア,hyeongwanmun
2565,현대,現代,hyeondae
2566,현대식,現代式,hyeondaesik
2567,현대인,現代人,hyeondaein
2568,현대적,現代的,hyeondaejeok
2569,현모양처,良妻賢母,hyeonmoyangcheo
2570,현실,現実,hyeonsil
2571,현실적,現実的,hyeonsiljeok
2572,현장,現場,hyeonjang
2573,형용사,形容詞,hyeongyongsa
2574,형태,形,hyeongtae
2575,형편,状況、事情,hyeongpyeon
2576,혜택,恵み、恩恵,hyetaek
2577,호감,好感,hogam
2578,호기심,好奇心,hogisim
2579,호수,湖,hosu
2580,호칭,呼称,hoching
2581,혹시,もしかして、ひょっとして,hoksi
2582,혹은,あるいは,hogeun
2583,혼나다,怒られる,honnada
2584,혼내다,叱る、こらしめる,honnaeda
2585,혼잡,混雑,honjap
2586,홀수,奇数,holsu
2587,홍보,広報,hongbo
2588,홍보물,広報物,hongbomul
2589,홍수,洪水,hongsu
2590,화려하다,華麗だ、華やかだ,hwaryeohada
2591,화면,画面,hwamyeon
2592,화물,貨物,hwamul
2593,화분,植木鉢,hwabun
2594,화산,火山,hwasan
2595,화상,やけど,hwasang
2596,화장지,トイレットペーパー,hwajangji
2597,화재,火災、火事,hwajae
2598,화창하다,のどかだ,hwachanghada
2599,화해,和解,hwahae
2600,확실하다,確実だ,hwaksilhada
2601,환경,環境,hwangyeong
2602,환기,換気,hwangi
2603,환불,払い戻し,hwanbul
2604,환상적,幻想的,hwansangjeok
2605,환송회,歓送会,hwansonghoe
2606,환영회,歓迎会,hwanyeonghoe
2607,환율,為替レート,hwanyul
2608,환전,両替,hwanjeon
2609,환절기,季節の変わり目,hwanjeolgi
2610,활동,活動,hwaldong
2611,활동적,活動的,hwaldongjeok
2612,활발하다,活発だ,hwalbalhada
2613,활용,活用,hwaryong
2614,활짝,ぱあっと、満開に,hwaljjak
2615,황당하다,とてつもない、とんでもない,hwangdanghada
2616,황사,黄砂,hwangsa
2617,〜 회 ～,回,〜 hoe ～
2618,회갑,還暦,hoegap
2619,회복,回復,hoebok
2620,회비,会費,hoebi
2621,회식,会食、飲み会,hoesik
2622,회원,会員,hoewon
2623,회의장,会議場,hoeuijang
2624,회장,会長,hoejang
2625,횟수,回数,hoetsu
2626,효과,効果、効き目,hyogwa
2627,효과적,効果的,hyogwajeok
2628,효녀,孝行娘,hyonyeo
2629,효율적,効率的,hyoyuljeok
2630,후문,裏門,humun
2631,후반,後半,huban
2632,후반전,後半戦,hubanjeon
2633,후보,候補,hubo
2634,후식,デザート,husik
2635,후회,後悔,huhoe
2636,훈련,訓練,hunryeon
2637,훌륭하다,立派だ、すばらしい,hulryunghada
2638,훔치다,盗む,humchida
2639,훨씬,ずっと、はるかに,hwolssin
2640,휘발유,ガソリン、揮発油,hwibaryu
2641,휴가철,休暇の季節,hyugacheol
2642,휴게실,休憩室,hyugesil
2643,휴대,携帯,hyudae
2644,휴대폰,携帯電話,hyudaepon
2645,휴식,休息,hyusik
2646,휴양지,リゾート,hyuyangji
2647,휴학,休学,hyuhak
2648,흐르다,流れる,heureuda
2649,흔들다,振る、揺らす,heundeulda
2650,흔들리다,揺れる、そよぐ、ぐらつく,heundeulrida
2651,흔하다,ありふれている,heunhada
2652,흔히,よく、多く,heunhi
2653,흘리다,流す、こぼす、紛失する,heulrida
2654,흙,土,heuk
2655,흡연,喫煙,heubyeon
2656,흥미,興味,heungmi
2657,흥분,興奮,heungbun
2658,희다,白い,huida
2659,희망,希望,huimang
2660,희망자,希望者,huimangja
2661,희생자,犠牲者,huisaengja
2662,힘껏,力の限り、精一杯,himkkeot
